put_call,symbol,description,exchange_name,bid,ask,last,mark,bid_size,ask_size,bid_ask_size,last_size,high_price,low_price,open_price,close_price,total_volume,trade_time_in_long,quote_time_in_long,net_change,volatility,delta,gamma,theta,vega,rho,open_interest,time_value,theoretical_option_value,theoretical_volatility,strike_price,expiration_date,days_to_expiration,expiration_type,last_trading_day,multiplier,settlement_type,deliverable_note,percent_change,mark_change,mark_percent_change,intrinsic_value,extrinsic_value,option_root,exercise_type,high_52_week,low_52_week,penny_pilot,non_standard,in_the_money,mini
PUT,AAPL  250711P00205000,AAPL 07/11/2025 205.00 P,OPR,8.45,11.3,9.15,9.88,100,1,100X1,1,11.2,9.15,0,10.16,4,1748635134927,1748635199842,-1.01,27.917,-0.549,0.022,-0.074,0.269,-0.116,3,5.0,9.196,29,205.0,2025-07-11T20:00:00.000+00:00,42,W,1752278400000,100,P,100 AAPL,-9.94,-0.29,-2.83,4.15,5.0,AAPL,A,11.2,9.15,true,false,true,false
PUT,AAPL  250711P00210000,AAPL 07/11/2025 210.00 P,OPR,11.45,13.75,13.1,12.6,101,107,101X107,1,14.15,13.1,0,13.1,44,1748632673362,1748635199612,0.0,29.05,-0.646,0.02,-0.07,0.253,-0.128,1,3.95,12.649,29,210.0,2025-07-11T20:00:00.000+00:00,42,W,1752278400000,100,P,100 AAPL,0.0,-0.5,-3.82,9.15,3.95,AAPL,A,14.15,13.1,true,false,true,false
PUT,AAPL  250711P00215000,AAPL 07/11/2025 215.00 P,OPR,15.1,17.0,16.75,16.05,125,122,125X122,1,16.75,16.75,0,16.89,1,1748617568359,1748635199159,-0.14,26.348,-0.767,0.02,-0.047,0.206,-0.125,1,2.6,15.687,29,215.0,2025-07-11T20:00:00.000+00:00,42,W,1752278400000,100,P,100 AAPL,-0.83,-0.84,-4.96,14.15,2.6,AAPL,A,17.01,16.75,true,false,true,false
PUT,AAPL  250718P00195000,AAPL 07/18/2025 195.00 P,OPR,5.75,5.85,5.71,5.8,7,43,7X43,1,7.53,5.33,0,6.2,1590,1748635189496,1748635199839,-0.49,30.421,-0.359,0.017,-0.078,0.275,-0.099,10949,5.71,5.8,29,195.0,2025-07-18T20:00:00.000+00:00,49,S,1752883200000,100,P,100 AAPL,-7.9,-0.4,-6.45,-5.85,11.56,AAPL,A,30.95,1.74,true,false,false,false
PUT,AAPL  250718P00200000,AAPL 07/18/2025 200.00 P,OPR,7.65,7.8,7.61,7.73,9,55,9X55,2,9.83,7.12,0,8.18,6610,1748635178069,1748635200726,-0.57,29.397,-0.448,0.019,-0.078,0.291,-0.12,21930,7.61,7.725,29,200.0,2025-07-18T20:00:00.000+00:00,49,S,1752883200000,100,P,100 AAPL,-6.97,-0.45,-5.5,-0.85,8.46,AAPL,A,34.5,2.01,true,false,false,false
PUT,AAPL  250718P00205000,AAPL 07/18/2025 205.00 P,OPR,10.05,10.2,9.75,10.13,5,2,5X2,1,12.35,9.75,0,10.67,1314,1748635142237,1748635200723,-0.92,28.667,-0.543,0.019,-0.075,0.291,-0.141,13839,5.6,10.186,29,205.0,2025-07-18T20:00:00.000+00:00,49,S,1752883200000,100,P,100 AAPL,-8.62,-0.55,-5.12,4.15,5.6,AAPL,A,38.28,2.43,true,false,true,false
PUT,AAPL  250718P00210000,AAPL 07/18/2025 210.00 P,OPR,13.0,13.2,13.45,13.1,5,63,5X63,10,15.9,13.25,0,13.71,2373,1748634304105,1748635199995,-0.26,27.847,-0.641,0.019,-0.066,0.274,-0.156,9205,4.3,13.096,29,210.0,2025-07-18T20:00:00.000+00:00,49,S,1752883200000,100,P,100 AAPL,-1.9,-0.61,-4.44,9.15,4.3,AAPL,A,40.25,3.0,true,false,true,false
PUT,AAPL  250718P00215000,AAPL 07/18/2025 215.00 P,OPR,16.35,16.75,16.71,16.55,30,44,30X44,1,19.7,16.71,0,17.22,79,1748634653638,1748635200726,-0.51,27.21,-0.734,0.018,-0.054,0.24,-0.161,5922,2.56,16.528,29,215.0,2025-07-18T20:00:00.000+00:00,49,S,1752883200000,100,P,100 AAPL,-2.96,-0.67,-3.9,14.15,2.56,AAPL,A,46.94,3.77,true,false,true,false
CALL,AAPL  250530C00197500,AAPL 05/30/2025 197.50 C,OPR,2.86,3.3,3.45,3.08,44,2,44X2,111,4.43,0.52,0,3.01,15649,1748635193091,1748635199970,0.44,47.551,1.0,0.0,0.0,0.0,0.0,3345,0.1,3.35,29,197.5,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,14.61,0.07,2.25,3.35,0.1,AAPL,A,17.05,0.52,true,false,true,false
CALL,AAPL  250530C00200000,AAPL 05/30/2025 200.00 C,OPR,0.57,1.0,0.69,0.78,1,106,1X106,1,1.95,0.06,0,1.36,92215,1748635198053,1748635199978,-0.67,16.278,1.0,0.0,0.0,0.0,0.0,15218,-0.16,0.85,29,200.0,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-49.4,-0.57,-42.12,0.85,-0.16,AAPL,A,20.01,0.06,true,false,true,false
